Date,series1
2019-07-01,3724.254127783836
2019-07-02,3702.533293140727
2019-07-03,3746.1709515484913
2019-07-04,3728.580527910682
2019-07-05,3753.226528841312
2019-07-06,3398.007163756596
2019-07-07,2826.342475572217
2019-07-08,3712.511315538385
2019-07-09,3704.7037394465765
2019-07-10,3762.1931365454743
2019-07-11,3757.8968271162075
2019-07-12,3794.775077826063
2019-07-13,3450.2323153737484
2019-07-14,2887.2244103731746
2019-07-15,3779.6147175577007
2019-07-16,3775.2447836389133
2019-07-17,3833.1233724638205
2019-07-18,3826.0019078966916
2019-07-19,3856.7856956200776
2019-07-20,3502.94418449322
2019-07-21,2927.6237063498215
2019-07-22,3805.005050157069
2019-07-23,3783.371568140443
2019-07-24,3822.2913760469924
2019-07-25,3795.181792936341
2019-07-26,3805.705561219822
2019-07-27,3432.1624195707864
2019-07-28,2838.579905789238
2019-07-29,3700.0462996002525
2019-07-30,3665.7520587811405
2019-07-31,3696.1440506443455
2019-08-01,3665.461527668459
2019-08-02,3678.104231878075
2019-08-03,3312.997060308092
2019-08-04,2734.6560183999204
2019-08-05,3618.4991852275184
2019-08-06,3613.8697964760463
2019-08-07,3681.1764143917967
2019-08-08,3694.419693151968
2019-08-09,3757.5565572790088
2019-08-10,3448.8665158475465
2019-08-11,2932.024975335288
2019-08-12,3881.427248905313
2019-08-13,3945.2301770928084
2019-08-14,4082.5159751051374
2019-08-15,4165.847304951132
2019-08-16,4297.663735018611
2019-08-17,4054.683526072725
2019-08-18,3599.0147138333
2019-08-19,4603.518208057603
2019-08-20,4714.88878625556
2019-08-21,4890.857530119689
2019-08-22,5002.783635415126
2019-08-23,5152.084720483581
2019-08-24,4914.668594955579
2019-08-25,4452.0695703671645
2019-08-26,5436.831259581556
2019-08-27,5515.601109449235
2019-08-28,5646.3397404050975
2019-08-29,5700.9127244800175
2019-08-30,5781.513813792146
2019-08-31,5465.08266000052
2019-09-01,4914.420377698842
2019-09-02,5803.5453573362
2019-09-03,5780.755207676862
2019-09-04,5805.798698422935
2019-09-05,5752.42627230542
2019-09-06,5724.769192921309
2019-09-07,5301.7115110847635
2019-09-08,4647.959402188171
2019-09-09,5439.351503859607
2019-09-10,5325.877347903411
2019-09-11,5268.808927456626
2019-09-12,5143.2150621132005
2019-09-13,5054.309612791509
2019-09-14,4581.79857816958
2019-09-15,3890.9313130038513
2019-09-16,4657.800003824437
2019-09-17,4532.3548050967265
2019-09-18,4475.539778779341
2019-09-19,4361.8191908428835
2019-09-20,4295.544897758562
2019-09-21,3855.329334399497
2019-09-22,3205.1286349410875
2019-09-23,4019.579144347919
2019-09-24,3947.0537001673265
2019-09-25,3946.8416869951716
2019-09-26,3891.7211910142328
2019-09-27,3884.3727102345374
2019-09-28,3501.7976390693716
